				24h	6DAS		seedling_11DAS			v12					v14	0DAP							14DAP		27DAP	
tf	gid	W22_gid	Tissue	embryo_imbibed	coleoptile_tip	radicle_root	leaf	root	meristem	blade_leaf	sheath	internode	tassel	auricle	ear	silk	spikelet	husk	tassel_stem	floret	flag_leaf	root	kernel	endosperm	embryo	endosperm
WRKY2	Zm00001d016052	Zm00004b013450	coleoptile_tip	3	11.94	6.24	1.44	3.73	6.24	0.61	0.93	1.69	2.45	1.18	1.46	1.4	2.1	1.31	2.56	0.87	1.16	0.3	3.08	2.4	3.86	1.27
MYB40	Zm00001d040621	Zm00004b016719	coleoptile_tip	4.88	45.73	21.18	7.93	1.56	19.14	5.71	4.08	0.78	14.11	12.82	10.39	6.77	9.75	4	1.25	8.52	59.84	2.03	22.29	23.86	5.51	26.23
E2F13	Zm00001d052288	Zm00004b023063	coleoptile_tip	0.07	20.7	9.56	0	6.1	34.15	0	0.03	0	5.91	0	34.84	0.14	2.92	0.08	0.08	0.05	0.05	2.26	1.1	0.48	6.5	0
GRAS52	Zm00001d002573	Zm00004b006535	embryo_imbibed	114.8	5.15	5.44	23.65	13.65	10.53	8.99	17.91	16.21	12.3	20.45	9.74	3.87	12.92	13.76	28.83	12.44	23.62	10.49	8.57	11.79	4.96	48.54
GRAS75	Zm00001d006701	Zm00004b009784	embryo_imbibed	163.04	32.39	21.85	17.72	7.29	14.77	32.91	26.97	9.64	7.27	18.24	18.26	12.51	16.36	16.08	60.99	19.78	71.27	4.41	47.58	62.12	20.78	58.19
MYBR21	Zm00001d008602	Zm00004b024904	embryo_imbibed	183.32	16.92	28.72	66.4	100.99	20.55	28.14	42.53	55.66	15.2	31.49	23.52	29.39	27.31	31.04	71.94	35.69	40.87	26.29	21.07	20.57	4.79	29.69
HSF18	Zm00001d016255	Zm00004b013608	embryo_imbibed	74.16	10.15	2.53	22.03	34.67	7.03	0.84	5.42	6.12	0.21	3.77	0.09	0.68	0.25	0.18	0.42	0.5	1.32	63.72	2.32	4.39	8.43	7.28
HSF29	Zm00001d016520	Zm00004b013825	embryo_imbibed	15.12	15.19	15.74	15.1	20.94	11.25	23.18	26.48	40.15	22.25	25.83	13.16	30.18	24.48	32.06	29.08	17.73	13.15	21.11	14.48	8.23	14.05	9.83
HSF6	Zm00001d016674	Zm00004b013941	embryo_imbibed	175.66	0.77	5.34	1.69	1.11	0.48	32.4	21.32	10.25	5.3	11.73	4.7	11.04	6.18	7.9	16.82	7.79	45.02	11.95	3.88	2.4	16.09	3
HSF20	Zm00001d026094	Zm00004b040094	embryo_imbibed	14.03	1.05	0.42	15.66	7.68	9.74	28.23	11.86	9.61	9	13.63	4.67	4.77	5.32	4.73	3.95	5.56	23.37	2.43	4.31	12.41	3.03	10.02
WRKY82	Zm00001d038843	Zm00004b031112	embryo_imbibed	43.53	6.97	15.77	30.95	16.55	1.51	7.73	12.26	18.3	1.52	11.92	0.53	1.4	2.67	8.87	14.29	5.29	10.82	43.58	4.05	0.14	0.22	0.64
WRKY87	Zm00001d052847	Zm00004b023521	embryo_imbibed	40.11	0.37	0.06	12.04	0.52	0.31	9.46	1.98	0.43	0.16	1.37	0.28	0	0.09	1.62	1.14	1.64	14.06	0.2	0.25	0.07	0.61	0.09
WRKY8	Zm00001d053369	Zm00004b023980	embryo_imbibed	6.21	3.9	3.13	0.87	4.71	4.63	0.89	2.33	2.58	1.89	3.39	2.58	2.62	1.7	1.62	3.11	1.23	2.73	1.07	1.27	0.96	4.74	0.64
SBP20	Zm00001d053890	Zm00004b024383	embryo_imbibed	37.53	11.77	13.47	5.3	11.04	23.5	1.4	10.37	18.71	16.9	7.5	11.79	2.19	8.48	4.81	16.96	7.93	1.67	37.25	3.72	2.33	6.12	0.82
BZIP76	Zm00001d036736	Zm00004b029476	embryo_imbibed	10.75	2.67	5.21	13.04	2.56	1.97	2.25	1.46	6.68	2.9	0.59	3.14	13.84	5	1.41	6.95	4.33	5.26	5.75	2.91	2.19	1.38	1.64
E2F19	Zm00001d027709	Zm00004b000391	seedling_leaf	15.8	9.67	10.3	16.98	9.87	15.8	13.48	13.46	11.65	12.62	10.99	23.11	14.59	14.61	9.99	15.21	8.8	21.95	11.43	14.73	14.12	13.01	19.94
HSF13	Zm00001d027757	Zm00004b000433	seedling_leaf	12.43	2.56	5.21	454.09	11.41	1.65	418.86	374.05	9.69	1.09	111.29	1.62	21.18	1.15	99.27	73.61	46.12	650.72	11.21	1.01	0	0.22	0.27
MYBR32	Zm00001d029963	Zm00004b002134	seedling_leaf	25.36	22.35	40.46	299.63	136.87	29.35	35.4	158.2	486.15	25.55	189.37	71.82	208.39	55.43	199.43	233.84	114.54	89.73	263.6	20.56	3.09	37.36	5.28
HSF24	Zm00001d032923	Zm00004b004268	tassel	61.01	32.33	39.41	76.39	52.68	120.25	457.3	250.25	292.19	96.74	188.37	80.66	82.65	100.08	73.67	109.58	88.97	400.14	155.93	167.13	208.16	265.23	121.11
C3H42	Zm00001d008356	Zm00004b024707	tassel_stem	3.9	7.39	10.4	2.18	4.56	9.54	3.46	5.16	27.27	7.45	3.89	6.87	8.24	7.17	6.72	9.59	2.83	4.7	7.76	9.12	11.18	4.9	6.47
BAF60.21	Zm00001d015127	Zm00004b012791	tassel_stem	14.59	22.83	20.86	4.24	12.8	40.22	14.14	14.71	8.16	11.74	14.07	19.75	14.05	10.77	13.31	16.32	11.26	24.08	14.86	7.51	6.1	16.7	3.92
JMJ13	Zm00001d052933	Zm00004b023587	tassel_stem	27.45	19.45	14.87	0.87	11.5	21.1	6.13	8.24	6.9	7.03	7.03	18.32	10.68	11.42	6.64	6.81	6.47	7.79	8.06	20.09	23.52	13.94	16.03
