gid	tid	ttype	chrom	start	end	srd	size.rna	size.exon	size.cds	note1	note2
Zm00004b000001	Zm00004b000001_T001	mRNA	chr01	12601	18309	+	5709	3824	1935		
Zm00004b000002	Zm00004b000002_T001	mRNA	chr01	18411	24787	-	6377	1989	1245		
Zm00004b000003	Zm00004b000003_T001	mRNA	chr01	95318	96172	-	855	855	855		
Zm00004b000004	Zm00004b000004_T001	mRNA	chr01	96215	96820	-	606	606	606		
Zm00004b000005	Zm00004b000005_T001	mRNA	chr01	97085	101606	-	4522	2098	2058		
Zm00004b000006	Zm00004b000006_T001	mRNA	chr01	104271	104648	+	378	378	378		
Zm00004b000007	Zm00004b000007_T001	mRNA	chr01	205386	206258	-	873	562	234		
Zm00004b000008	Zm00004b000008_T001	mRNA	chr01	206476	215485	-	9010	1228	864		
Zm00004b000009	Zm00004b000009_T001	mRNA	chr01	217031	222316	-	5286	1765	1449		
Zm00004b000010	Zm00004b000010_T001	mRNA	chr01	234331	237424	+	3094	2398	2184		
Zm00004b000011	Zm00004b000011_T001	mRNA	chr01	354976	358819	-	3844	1092	591		
Zm00004b000012	Zm00004b000012_T001	mRNA	chr01	359256	359531	+	276	276	276		
Zm00004b000013	Zm00004b000013_T001	mRNA	chr01	438097	442222	+	4126	2015	1533		
Zm00004b000014	Zm00004b000014_T001	mRNA	chr01	751813	752718	+	906	906	906		
Zm00004b000015	Zm00004b000015_T001	mRNA	chr01	752183	756327	-	4145	1431	765		
Zm00004b000016	Zm00004b000016_T001	mRNA	chr01	905490	935174	-	29685	4938	3882		
Zm00004b000017	Zm00004b000017_T001	mRNA	chr01	936769	938587	-	1819	1348	1341		
Zm00004b000018	Zm00004b000018_T001	mRNA	chr01	1112139	1112609	+	471	471	471		
Zm00004b000019	Zm00004b000019_T001	mRNA	chr01	1205848	1213914	+	8067	3215	2355		
Zm00004b000020	Zm00004b000020_T001	mRNA	chr01	1214829	1217962	+	3134	1849	894		
Zm00004b000021	Zm00004b000021_T001	mRNA	chr01	1219047	1229871	+	10825	3411	978		
Zm00004b000022	Zm00004b000022_T001	mRNA	chr01	1227440	1229517	-	2078	1578	1578		
Zm00004b000023	Zm00004b000023_T001	mRNA	chr01	1236974	1237186	+	213	213	213		
Zm00004b000024	Zm00004b000024_T001	mRNA	chr01	1269277	1272382	+	3106	438	438		
Zm00004b000025	Zm00004b000025_T001	mRNA	chr01	1269534	1271950	-	2417	471	471		
Zm00004b000026	Zm00004b000026_T001	mRNA	chr01	1384715	1385119	-	405	405	405		
Zm00004b000027	Zm00004b000027_T001	mRNA	chr01	1440627	1443677	+	3051	3051	3051		
Zm00004b000028	Zm00004b000028_T001	mRNA	chr01	1445232	1446770	-	1539	360	360		
Zm00004b000029	Zm00004b000029_T001	mRNA	chr01	1453644	1459883	-	6240	2450	1119		
Zm00004b000030	Zm00004b000030_T001	mRNA	chr01	1460361	1464517	-	4157	1746	1746		
Zm00004b000031	Zm00004b000031_T001	mRNA	chr01	1710508	1746089	+	35582	7893	7365		
Zm00004b000032	Zm00004b000032_T001	mRNA	chr01	1785157	1785789	-	633	365	360		
Zm00004b000033	Zm00004b000033_T001	mRNA	chr01	1816198	1817075	-	878	808	807		
Zm00004b000034	Zm00004b000034_T001	mRNA	chr01	1909153	1909542	+	390	390	390		
Zm00004b000035	Zm00004b000035_T001	mRNA	chr01	1921436	1922392	+	957	957	957		
Zm00004b000036	Zm00004b000036_T001	mRNA	chr01	2017108	2019326	+	2219	1859	1803		
Zm00004b000037	Zm00004b000037_T001	mRNA	chr01	2034882	2036036	+	1155	1155	1155		
Zm00004b000038	Zm00004b000038_T001	mRNA	chr01	2036148	2037551	-	1404	1404	1404		
Zm00004b000039	Zm00004b000039_T001	mRNA	chr01	2042062	2044431	-	2370	1459	633		
Zm00004b000040	Zm00004b000040_T001	mRNA	chr01	2140455	2140855	+	401	318	318		
Zm00004b000041	Zm00004b000041_T001	mRNA	chr01	2144362	2144787	-	426	426	426		
Zm00004b000042	Zm00004b000042_T001	mRNA	chr01	2148441	2148878	-	438	438	438		
Zm00004b000043	Zm00004b000043_T001	mRNA	chr01	2227592	2229037	+	1446	1446	1446		
Zm00004b000044	Zm00004b000044_T001	mRNA	chr01	2232696	2241262	-	8567	3815	1893		
Zm00004b000045	Zm00004b000045_T001	mRNA	chr01	2256379	2257545	+	1167	343	330		
Zm00004b000046	Zm00004b000046_T001	mRNA	chr01	2300833	2302467	+	1635	964	759		
Zm00004b000047	Zm00004b000047_T001	mRNA	chr01	2305805	2308983	-	3179	2982	2145		
Zm00004b000048	Zm00004b000048_T001	mRNA	chr01	2360707	2363219	-	2513	2244	1266		
