b.gid	w.gid
Zm00001d000001	Zm00004b038555
Zm00001d000002	Zm00004b038554
Zm00001d000004	Zm00004b038552
Zm00001d000005	Zm00004b038550
Zm00001d000006	Zm00004b038549
Zm00001d000009	Zm00004b038547
Zm00001d000016	Zm00004b038542
Zm00001d000018	Zm00004b038539
Zm00001d000020	Zm00004b038538
Zm00001d000021	Zm00004b038534
Zm00001d000023	Zm00004b038533
Zm00001d000028	Zm00004b033303
Zm00001d000030	Zm00004b033301
Zm00001d000032	Zm00004b033300
Zm00001d000034	Zm00004b033299
Zm00001d000037	Zm00004b033298
Zm00001d000038	Zm00004b033295
Zm00001d000039	Zm00004b033294
Zm00001d000041	Zm00004b033292
Zm00001d000042	Zm00004b033290
Zm00001d000045	Zm00004b033287
Zm00001d000046	Zm00004b033285
Zm00001d000049	Zm00004b033281
Zm00001d000052	Zm00004b033279
Zm00001d000053	Zm00004b033278
Zm00001d000055	Zm00004b002347
Zm00001d000058	Zm00004b002345
Zm00001d000060	Zm00004b002344
Zm00001d000061	Zm00004b002343
Zm00001d000066	Zm00004b002340
Zm00001d000070	Zm00004b002338
Zm00001d000072	Zm00004b002337
Zm00001d000102	Zm00004b021853
Zm00001d000104	Zm00004b021851
Zm00001d000107	Zm00004b023708
Zm00001d000110	Zm00004b023709
Zm00001d000112	Zm00004b023713
Zm00001d000116	Zm00004b023714
Zm00001d000117	Zm00004b021739
Zm00001d000118	Zm00004b021741
Zm00001d000120	Zm00004b021743
Zm00001d000122	Zm00004b007595
Zm00001d000123	Zm00004b007593
Zm00001d000124	Zm00004b007592
Zm00001d000126	Zm00004b007591
Zm00001d000128	Zm00004b007590
Zm00001d000133	Zm00004b007589
Zm00001d000134	Zm00004b007588
Zm00001d000137	Zm00004b002560
Zm00001d000141	Zm00004b002559
Zm00001d000143	Zm00004b002670
Zm00001d000147	Zm00004b002671
Zm00001d000150	Zm00004b020077
Zm00001d000153	Zm00004b020075
Zm00001d000154	Zm00004b020074
Zm00001d000158	Zm00004b023716
Zm00001d000159	Zm00004b023717
Zm00001d000160	Zm00004b023718
Zm00001d000161	Zm00004b023719
Zm00001d000162	Zm00004b023720
Zm00001d000163	Zm00004b023721
Zm00001d000164	Zm00004b022405
Zm00001d000165	Zm00004b022406
Zm00001d000166	Zm00004b022408
Zm00001d000168	Zm00004b022409
Zm00001d000169	Zm00004b022428
Zm00001d000170	Zm00004b022427
Zm00001d000174	Zm00004b033313
Zm00001d000175	Zm00004b033312
Zm00001d000176	Zm00004b033311
Zm00001d000178	Zm00004b033310
Zm00001d000179	Zm00004b033309
Zm00001d000180	Zm00004b033308
Zm00001d000181	Zm00004b033307
Zm00001d000183	Zm00004b033305
Zm00001d000184	Zm00004b033304
Zm00001d000193	Zm00004b030419
Zm00001d000194	Zm00004b030418
Zm00001d000195	Zm00004b030417
Zm00001d000197	Zm00004b030415
Zm00001d000199	Zm00004b030411
Zm00001d000202	Zm00004b011611
Zm00001d000203	Zm00004b011610
Zm00001d000204	Zm00004b031977
Zm00001d000205	Zm00004b031976
Zm00001d000213	Zm00004b031972
Zm00001d000215	Zm00004b031971
Zm00001d000216	Zm00004b031970
Zm00001d000220	Zm00004b018247
Zm00001d000222	Zm00004b018245
Zm00001d000223	Zm00004b018243
Zm00001d000224	Zm00004b018242
Zm00001d000227	Zm00004b002876
Zm00001d000229	Zm00004b002875
Zm00001d000230	Zm00004b002874
Zm00001d000236	Zm00004b006646
Zm00001d000237	Zm00004b006647
Zm00001d000238	Zm00004b031657
Zm00001d000240	Zm00004b030958
Zm00001d000241	Zm00004b030957
Zm00001d000242	Zm00004b030956
Zm00001d000247	Zm00004b038531
Zm00001d000256	Zm00004b013262
Zm00001d000288	Zm00004b029169
Zm00001d005750	Zm00004b009005
Zm00001d000294	Zm00004b003878
Zm00001d000298	Zm00004b020611
Zm00001d000299	Zm00004b020612
Zm00001d000300	Zm00004b024373
Zm00001d000301	Zm00004b024371
Zm00001d000302	Zm00004b024370
Zm00001d000303	Zm00004b024369
Zm00001d000304	Zm00004b024368
Zm00001d000305	Zm00004b024367
Zm00001d000306	Zm00004b024366
Zm00001d000307	Zm00004b024365
Zm00001d000308	Zm00004b011615
Zm00001d000310	Zm00004b030959
Zm00001d000311	Zm00004b030960
Zm00001d000314	Zm00004b030962
Zm00001d000316	Zm00004b015828
Zm00001d000320	Zm00004b037018
Zm00001d000328	Zm00004b001168
Zm00001d000339	Zm00004b026525
Zm00001d000346	Zm00004b022865
Zm00001d000350	Zm00004b038480
Zm00001d000357	Zm00004b031660
Zm00001d000358	Zm00004b029342
Zm00001d000360	Zm00004b029343
Zm00001d000361	Zm00004b029346
Zm00001d000367	Zm00004b015088
Zm00001d000368	Zm00004b038162
Zm00001d000379	Zm00004b022622
Zm00001d000380	Zm00004b022621
Zm00001d000381	Zm00004b022620
Zm00001d000382	Zm00004b024969
Zm00001d000387	Zm00004b004251
Zm00001d000391	Zm00004b033536
Zm00001d000392	Zm00004b033537
Zm00001d000396	Zm00004b026591
Zm00001d000400	Zm00004b030471
Zm00001d000406	Zm00004b025362
Zm00001d000407	Zm00004b032849
Zm00001d000408	Zm00004b032848
Zm00001d000418	Zm00004b032299
Zm00001d000424	Zm00004b028352
Zm00001d000428	Zm00004b033083
Zm00001d000429	Zm00004b033082
Zm00001d000430	Zm00004b033081
Zm00001d000431	Zm00004b004835
Zm00001d000434	Zm00004b030473
Zm00001d000435	Zm00004b036834
Zm00001d000439	Zm00004b006454
Zm00001d000442	Zm00004b006455
Zm00001d000443	Zm00004b006456
Zm00001d000447	Zm00004b040229
Zm00001d000450	Zm00004b023743
Zm00001d000458	Zm00004b000716
Zm00001d001763	Zm00004b005869
Zm00001d001765	Zm00004b005870
Zm00001d001766	Zm00004b005871
Zm00001d001767	Zm00004b005872
Zm00001d001769	Zm00004b005873
Zm00001d001773	Zm00004b005877
Zm00001d001775	Zm00004b005879
Zm00001d001776	Zm00004b005880
Zm00001d001780	Zm00004b005883
Zm00001d001781	Zm00004b005884
Zm00001d001784	Zm00004b005885
Zm00001d001785	Zm00004b005886
Zm00001d001786	Zm00004b005887
Zm00001d001787	Zm00004b005888
Zm00001d001788	Zm00004b005889
Zm00001d001789	Zm00004b005890
Zm00001d001790	Zm00004b005891
Zm00001d001791	Zm00004b005892
Zm00001d001798	Zm00004b005895
Zm00001d001799	Zm00004b005896
Zm00001d001803	Zm00004b005898
Zm00001d001804	Zm00004b005899
Zm00001d001806	Zm00004b005900
Zm00001d001807	Zm00004b005901
Zm00001d001808	Zm00004b005903
Zm00001d001809	Zm00004b005904
Zm00001d001811	Zm00004b005905
Zm00001d001812	Zm00004b005907
Zm00001d001813	Zm00004b005908
Zm00001d001814	Zm00004b005909
Zm00001d001817	Zm00004b005911
Zm00001d001819	Zm00004b005913
Zm00001d001820	Zm00004b005914
Zm00001d001825	Zm00004b005917
Zm00001d001826	Zm00004b005918
Zm00001d001828	Zm00004b005919
Zm00001d001829	Zm00004b005920
Zm00001d001830	Zm00004b005921
Zm00001d001831	Zm00004b005922
Zm00001d001832	Zm00004b005923
Zm00001d001833	Zm00004b005924
Zm00001d001834	Zm00004b005925
Zm00001d001836	Zm00004b005927
Zm00001d001837	Zm00004b005928
Zm00001d001838	Zm00004b005929
Zm00001d001839	Zm00004b005930
Zm00001d001841	Zm00004b005931
Zm00001d001842	Zm00004b005932
Zm00001d001843	Zm00004b005933
Zm00001d001844	Zm00004b005934
Zm00001d001845	Zm00004b005935
Zm00001d001846	Zm00004b005936
Zm00001d001847	Zm00004b005938
Zm00001d001848	Zm00004b005939
Zm00001d001849	Zm00004b005940
Zm00001d001850	Zm00004b005941
Zm00001d001852	Zm00004b005944
Zm00001d001855	Zm00004b005946
Zm00001d001856	Zm00004b005948
Zm00001d001857	Zm00004b005950
Zm00001d001858	Zm00004b005951
Zm00001d001859	Zm00004b005952
Zm00001d001860	Zm00004b005953
Zm00001d001861	Zm00004b005954
Zm00001d001862	Zm00004b005955
Zm00001d001864	Zm00004b005957
Zm00001d001866	Zm00004b005958
Zm00001d001868	Zm00004b005959
Zm00001d001869	Zm00004b005960
Zm00001d001870	Zm00004b005961
Zm00001d001877	Zm00004b005963
Zm00001d001879	Zm00004b005964
Zm00001d001880	Zm00004b005965
Zm00001d001881	Zm00004b005966
Zm00001d001882	Zm00004b005967
Zm00001d001883	Zm00004b005968
Zm00001d001884	Zm00004b005969
Zm00001d001887	Zm00004b005970
Zm00001d001894	Zm00004b005973
Zm00001d001895	Zm00004b005974
Zm00001d001896	Zm00004b005975
Zm00001d001897	Zm00004b005977
Zm00001d001898	Zm00004b005978
Zm00001d001899	Zm00004b005979
Zm00001d001900	Zm00004b005980
Zm00001d001901	Zm00004b005982
Zm00001d001906	Zm00004b005984
Zm00001d001908	Zm00004b005985
Zm00001d001909	Zm00004b005986
Zm00001d001910	Zm00004b005987
Zm00001d001913	Zm00004b005988
Zm00001d001914	Zm00004b005989
Zm00001d001915	Zm00004b005990
Zm00001d001916	Zm00004b005991
Zm00001d001917	Zm00004b005995
Zm00001d001924	Zm00004b005998
Zm00001d001927	Zm00004b006000
Zm00001d001928	Zm00004b006001
Zm00001d001929	Zm00004b006002
Zm00001d001931	Zm00004b006003
Zm00001d001932	Zm00004b006004
Zm00001d001933	Zm00004b006005
Zm00001d001934	Zm00004b006007
Zm00001d001935	Zm00004b006008
Zm00001d001936	Zm00004b006009
Zm00001d001937	Zm00004b006011
Zm00001d001939	Zm00004b006013
Zm00001d001940	Zm00004b006014
Zm00001d001941	Zm00004b006015
Zm00001d001945	Zm00004b006017
Zm00001d001946	Zm00004b006018
Zm00001d001947	Zm00004b006020
Zm00001d001948	Zm00004b006021
Zm00001d001949	Zm00004b006022
Zm00001d001952	Zm00004b006023
Zm00001d001953	Zm00004b006024
Zm00001d001959	Zm00004b006025
Zm00001d001960	Zm00004b006026
Zm00001d001961	Zm00004b006028
Zm00001d001962	Zm00004b006029
Zm00001d001964	Zm00004b006031
Zm00001d001966	Zm00004b006032
Zm00001d001967	Zm00004b006033
Zm00001d001968	Zm00004b006034
Zm00001d001972	Zm00004b006036
Zm00001d001973	Zm00004b006037
Zm00001d001976	Zm00004b006039
Zm00001d001977	Zm00004b006040
Zm00001d001978	Zm00004b006042
Zm00001d001979	Zm00004b006043
Zm00001d001980	Zm00004b006044
Zm00001d001982	Zm00004b006045
Zm00001d001983	Zm00004b006046
Zm00001d001984	Zm00004b006048
Zm00001d001987	Zm00004b006049
Zm00001d001988	Zm00004b006050
Zm00001d001989	Zm00004b006051
Zm00001d001990	Zm00004b006052
Zm00001d001993	Zm00004b006053
Zm00001d001994	Zm00004b006054
Zm00001d001995	Zm00004b006055
Zm00001d001996	Zm00004b006056
Zm00001d001997	Zm00004b006057
Zm00001d001999	Zm00004b006058
Zm00001d002000	Zm00004b006060
Zm00001d002001	Zm00004b006061
Zm00001d002003	Zm00004b006062
Zm00001d002004	Zm00004b006063
Zm00001d002005	Zm00004b006064
Zm00001d002006	Zm00004b006066
Zm00001d002007	Zm00004b006068
Zm00001d002011	Zm00004b006070
Zm00001d002012	Zm00004b006071
Zm00001d002013	Zm00004b006072
Zm00001d002020	Zm00004b006077
Zm00001d002021	Zm00004b006080
Zm00001d002022	Zm00004b006081
Zm00001d002024	Zm00004b006083
Zm00001d002025	Zm00004b006084
Zm00001d002026	Zm00004b006085
Zm00001d002027	Zm00004b006086
Zm00001d002028	Zm00004b006087
Zm00001d002029	Zm00004b006088
Zm00001d002033	Zm00004b006089
Zm00001d002034	Zm00004b006090
Zm00001d002035	Zm00004b006091
Zm00001d002036	Zm00004b006092
Zm00001d002037	Zm00004b006093
Zm00001d002038	Zm00004b006094
Zm00001d002039	Zm00004b006095
Zm00001d002042	Zm00004b006098
Zm00001d002046	Zm00004b006099
Zm00001d002051	Zm00004b006100
Zm00001d002052	Zm00004b006101
Zm00001d002053	Zm00004b006102
Zm00001d002054	Zm00004b006103
Zm00001d002057	Zm00004b006105
Zm00001d002056	Zm00004b006107
Zm00001d002058	Zm00004b006108
Zm00001d002063	Zm00004b006110
Zm00001d002064	Zm00004b006111
Zm00001d002065	Zm00004b006112
Zm00001d002066	Zm00004b006113
Zm00001d002068	Zm00004b006114
Zm00001d002069	Zm00004b006115
Zm00001d002071	Zm00004b006116
Zm00001d002074	Zm00004b006119
Zm00001d002075	Zm00004b006120
Zm00001d002079	Zm00004b006123
Zm00001d002080	Zm00004b006124
Zm00001d002082	Zm00004b006126
Zm00001d002083	Zm00004b006127
Zm00001d002084	Zm00004b006129
Zm00001d002085	Zm00004b006130
Zm00001d002086	Zm00004b006131
Zm00001d002087	Zm00004b006132
Zm00001d002088	Zm00004b006133
Zm00001d002089	Zm00004b006134
Zm00001d002090	Zm00004b006135
Zm00001d002091	Zm00004b006136
Zm00001d002093	Zm00004b006138
Zm00001d002094	Zm00004b006139
Zm00001d002095	Zm00004b006140
Zm00001d002096	Zm00004b006142
Zm00001d002097	Zm00004b006144
Zm00001d002098	Zm00004b006146
Zm00001d002099	Zm00004b006147
Zm00001d002100	Zm00004b006148
Zm00001d002103	Zm00004b006149
Zm00001d002104	Zm00004b006150
Zm00001d002105	Zm00004b006151
Zm00001d002115	Zm00004b006152
Zm00001d002119	Zm00004b006153
Zm00001d002121	Zm00004b006154
Zm00001d002122	Zm00004b006155
Zm00001d002123	Zm00004b006156
Zm00001d002124	Zm00004b006159
Zm00001d002125	Zm00004b006160
Zm00001d002126	Zm00004b006161
Zm00001d002127	Zm00004b006162
Zm00001d002128	Zm00004b006163
Zm00001d002129	Zm00004b006164
Zm00001d002130	Zm00004b006165
Zm00001d002131	Zm00004b006166
Zm00001d002135	Zm00004b006172
Zm00001d002136	Zm00004b006173
Zm00001d002137	Zm00004b006174
Zm00001d002139	Zm00004b006175
Zm00001d002140	Zm00004b006176
Zm00001d002141	Zm00004b006177
Zm00001d002143	Zm00004b006179
Zm00001d002144	Zm00004b006180
Zm00001d002145	Zm00004b006181
Zm00001d002146	Zm00004b006182
Zm00001d002147	Zm00004b006183
Zm00001d002150	Zm00004b006186
Zm00001d002153	Zm00004b006189
Zm00001d002154	Zm00004b006190
Zm00001d002155	Zm00004b006191
Zm00001d002156	Zm00004b006192
Zm00001d002157	Zm00004b006193
Zm00001d002158	Zm00004b006194
Zm00001d002163	Zm00004b006199
Zm00001d002167	Zm00004b006202
Zm00001d002168	Zm00004b006203
Zm00001d002169	Zm00004b006204
Zm00001d002172	Zm00004b006206
Zm00001d002173	Zm00004b006208
Zm00001d002174	Zm00004b006209
Zm00001d002175	Zm00004b006210
Zm00001d002176	Zm00004b006211
Zm00001d002177	Zm00004b006212
Zm00001d002184	Zm00004b006218
Zm00001d002185	Zm00004b006219
Zm00001d002186	Zm00004b006220
Zm00001d002190	Zm00004b006221
Zm00001d002191	Zm00004b006222
Zm00001d002198	Zm00004b006224
Zm00001d002200	Zm00004b006225
Zm00001d002202	Zm00004b006231
Zm00001d002213	Zm00004b006241
Zm00001d002230	Zm00004b006244
Zm00001d002234	Zm00004b006247
Zm00001d002235	Zm00004b006248
Zm00001d002239	Zm00004b006250
Zm00001d002240	Zm00004b006251
Zm00001d002241	Zm00004b006252
Zm00001d002243	Zm00004b006254
Zm00001d002244	Zm00004b006255
Zm00001d002246	Zm00004b006257
Zm00001d002247	Zm00004b006258
Zm00001d002250	Zm00004b006260
Zm00001d002252	Zm00004b006261
Zm00001d002253	Zm00004b006262
Zm00001d002256	Zm00004b006267
Zm00001d002257	Zm00004b006268
Zm00001d002258	Zm00004b006269
Zm00001d002259	Zm00004b006270
Zm00001d002261	Zm00004b006271
Zm00001d002262	Zm00004b006272
Zm00001d002266	Zm00004b006275
Zm00001d002267	Zm00004b006276
Zm00001d002269	Zm00004b006277
Zm00001d002271	Zm00004b006279
Zm00001d002272	Zm00004b006280
Zm00001d002274	Zm00004b006281
Zm00001d002275	Zm00004b006282
Zm00001d002276	Zm00004b006283
Zm00001d002277	Zm00004b006284
Zm00001d002278	Zm00004b006286
Zm00001d002282	Zm00004b006288
Zm00001d002283	Zm00004b006289
Zm00001d002284	Zm00004b006290
Zm00001d002285	Zm00004b006291
Zm00001d002286	Zm00004b006292
Zm00001d002287	Zm00004b006293
Zm00001d002288	Zm00004b006294
Zm00001d002290	Zm00004b006295
Zm00001d002292	Zm00004b006296
Zm00001d002295	Zm00004b006297
Zm00001d002296	Zm00004b006299
Zm00001d002301	Zm00004b006302
Zm00001d002302	Zm00004b006303
Zm00001d002304	Zm00004b006305
Zm00001d002313	Zm00004b006309
Zm00001d002314	Zm00004b006310
Zm00001d002315	Zm00004b006311
Zm00001d002316	Zm00004b006312
Zm00001d002317	Zm00004b006315
Zm00001d002318	Zm00004b006317
Zm00001d002319	Zm00004b006318
Zm00001d002323	Zm00004b006319
Zm00001d002326	Zm00004b006322
Zm00001d002330	Zm00004b006323
Zm00001d002332	Zm00004b006324
Zm00001d002333	Zm00004b006325
Zm00001d002338	Zm00004b006327
Zm00001d002339	Zm00004b006328
Zm00001d002340	Zm00004b006329
Zm00001d002341	Zm00004b006331
Zm00001d002342	Zm00004b006332
Zm00001d002343	Zm00004b006333
Zm00001d002345	Zm00004b006335
Zm00001d002346	Zm00004b006336
Zm00001d002347	Zm00004b006337
Zm00001d002348	Zm00004b006338
Zm00001d002349	Zm00004b006339
Zm00001d002351	Zm00004b006342
Zm00001d002352	Zm00004b006344
Zm00001d002353	Zm00004b006345
Zm00001d002356	Zm00004b006346
Zm00001d002357	Zm00004b006347
Zm00001d002358	Zm00004b006348
Zm00001d002359	Zm00004b006349
Zm00001d002360	Zm00004b006350
Zm00001d002362	Zm00004b006351
Zm00001d002364	Zm00004b006353
Zm00001d002365	Zm00004b006354
Zm00001d002366	Zm00004b006355
Zm00001d002369	Zm00004b006357
Zm00001d002370	Zm00004b006358
Zm00001d002371	Zm00004b006359
Zm00001d002372	Zm00004b006360
Zm00001d002373	Zm00004b006361
Zm00001d002382	Zm00004b006370
Zm00001d002384	Zm00004b006371
Zm00001d002385	Zm00004b006372
Zm00001d002386	Zm00004b006373
Zm00001d002387	Zm00004b006374
Zm00001d002388	Zm00004b006375
Zm00001d002390	Zm00004b006376
Zm00001d002391	Zm00004b006377
Zm00001d002393	Zm00004b006379
Zm00001d002394	Zm00004b006380
Zm00001d002395	Zm00004b006381
Zm00001d002396	Zm00004b006382
Zm00001d002402	Zm00004b006384
Zm00001d002403	Zm00004b006385
Zm00001d002404	Zm00004b006386
Zm00001d002405	Zm00004b006387
Zm00001d002406	Zm00004b006388
Zm00001d002409	Zm00004b006390
Zm00001d002410	Zm00004b006391
Zm00001d002412	Zm00004b006393
Zm00001d002413	Zm00004b006394
Zm00001d002414	Zm00004b006395
Zm00001d002415	Zm00004b006396
Zm00001d002416	Zm00004b006397
Zm00001d002418	Zm00004b006398
