TF	Genotype	Tissue	direction	goid	goname	n	p-value	B73v4.gid	W22.gid
baf60.21	baf60.21-m1	tassel_stem	down	GO:0000170	sphingosine hydroxylase activity	2	0.047489067	"Zm00001d043994,Zm00001d044833"	"Zm00004b019447,Zm00004b031538"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0001128	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly	1	0.046561975	Zm00001d044902	Zm00004b031582
baf60.21	baf60.21-m1	tassel_stem	down	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	4	0.042738649	"Zm00001d002069,Zm00001d002071,Zm00001d026457,Zm00001d050568"	"Zm00004b006115,Zm00004b006116,Zm00004b040412,Zm00004b021681"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0004551	nucleotide diphosphatase activity	1	0.046561975	Zm00001d010452	Zm00004b026339
baf60.21	baf60.21-m1	tassel_stem	down	GO:0004857	enzyme inhibitor activity	7	0.039492862	"Zm00001d005465,Zm00001d019291,Zm00001d022460,Zm00001d025588,Zm00001d028588,Zm00001d037831,Zm00001d038876"	"Zm00004b008789,Zm00004b035186,Zm00004b037583,Zm00004b039656,Zm00004b001102,Zm00004b030313,Zm00004b031143"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0005976	polysaccharide metabolic process	2	0.047489067	"Zm00001d010352,Zm00001d020852"	"Zm00004b026261,Zm00004b036295"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0006476	protein deacetylation	2	0.031263075	"Zm00001d045008,Zm00001d047121"	"Zm00004b031671,Zm00004b033354"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0007097	nuclear migration	2	0.031263075	"Zm00001d010797,Zm00001d038783"	"Zm00004b026617,Zm00004b031053"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0007568	aging	6	0.024801253	"Zm00001d007687,Zm00001d022569,Zm00001d036216,Zm00001d045327,Zm00001d047696,Zm00001d049113"	"Zm00004b010556,Zm00004b037659,Zm00004b029112,Zm00004b031933,Zm00004b033843,Zm00004b020492"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	8	0.030674456	"Zm00001d013422,Zm00001d026291,Zm00001d030129,Zm00001d036216,Zm00001d044329,Zm00001d044762,Zm00001d044763,Zm00001d049179"	"Zm00004b011372,Zm00004b040271,Zm00004b002252,Zm00004b029112,Zm00004b019735,Zm00004b031485,Zm00004b031486,Zm00004b020553"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0009044	xylan 1/4-beta-xylosidase activity	3	0.012600144	"Zm00001d017996,Zm00001d039994,Zm00001d052285"	"Zm00004b015061,Zm00004b016248,Zm00004b023060"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0009671	nitrate:proton symporter activity	1	0.046561975	Zm00001d046919	Zm00004b033148
baf60.21	baf60.21-m1	tassel_stem	down	GO:0009710	tropane alkaloid biosynthetic process	1	0.046561975	Zm00001d007687	Zm00004b010556
baf60.21	baf60.21-m1	tassel_stem	down	GO:0009828	plant-type cell wall loosening	2	0.031263075	"Zm00001d006399,Zm00001d026014"	"Zm00004b009541,Zm00004b040023"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0009952	anterior/posterior pattern specification	2	0.041795191	"Zm00001d026020,Zm00001d048629"	"Zm00004b040030,Zm00004b020121"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0010373	negative regulation of gibberellin biosynthetic process	1	0.046561975	Zm00001d008528	Zm00004b024849
baf60.21	baf60.21-m1	tassel_stem	down	GO:0015675	nickel cation transport	1	0.046561975	Zm00001d046243	Zm00004b032626
baf60.21	baf60.21-m1	tassel_stem	down	GO:0016754	sinapoylglucose-malate O-sinapoyltransferase activity	2	0.041795191	"Zm00001d014443,Zm00001d025526"	"Zm00004b012223,Zm00004b039609"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0018849	muconate cycloisomerase activity	1	0.046561975	Zm00001d008588	Zm00004b024892
